"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US510030104012","Block Group 2, Census Tract 104.01, Albemarle County, Virginia","1245","null","417","null","1222","null","414","null","23","27","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510030104013","Block Group 3, Census Tract 104.01, Albemarle County, Virginia","1185","null","485","null","973","null","457","null","171","142","null","null","25","38","null","null","0","null","13","null","0","null","13","null","0","null","13","null","16","26","null","null","15","null","26","null","1","null","2","null",
"1500000US510030104021","Block Group 1, Census Tract 104.02, Albemarle County, Virginia","977","null","334","null","948","null","334","null","25","43","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","4","8","null","null","0","null","13","null","4","null","8","null",
"1500000US510030104022","Block Group 2, Census Tract 104.02, Albemarle County, Virginia","979","null","213","null","739","null","148","null","67","88","null","null","0","13","null","null","47","null","62","null","0","null","13","null","4","null","6","null","122","115","null","null","12","null","20","null","110","null","113","null",
"1500000US510030104023","Block Group 3, Census Tract 104.02, Albemarle County, Virginia","1373","null","299","null","1287","null","282","null","0","13","null","null","4","11","null","null","67","null","61","null","0","null","13","null","0","null","13","null","15","34","null","null","0","null","13","null","15","null","34","null",
"1500000US510030105011","Block Group 1, Census Tract 105.01, Albemarle County, Virginia","1070","null","281","null","961","null","278","null","54","81","null","null","0","13","null","null","23","null","40","null","0","null","13","null","0","null","13","null","32","44","null","null","32","null","44","null","0","null","13","null",
"1500000US510030105012","Block Group 2, Census Tract 105.01, Albemarle County, Virginia","1843","null","467","null","1271","null","348","null","110","104","null","null","0","13","null","null","414","null","344","null","0","null","13","null","1","null","2","null","47","61","null","null","0","null","13","null","47","null","61","null",
"1500000US510030105021","Block Group 1, Census Tract 105.02, Albemarle County, Virginia","888","null","327","null","732","null","301","null","115","115","null","null","0","13","null","null","41","null","47","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510030105022","Block Group 2, Census Tract 105.02, Albemarle County, Virginia","1337","null","237","null","976","null","216","null","228","141","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","133","73","null","null","0","null","13","null","133","null","73","null",
"1500000US510030105023","Block Group 3, Census Tract 105.02, Albemarle County, Virginia","703","null","262","null","421","null","167","null","218","188","null","null","30","53","null","null","25","null","40","null","0","null","13","null","0","null","13","null","9","19","null","null","0","null","13","null","9","null","19","null",
"1500000US510030106021","Block Group 1, Census Tract 106.02, Albemarle County, Virginia","1698","null","288","null","1532","null","281","null","33","51","null","null","0","13","null","null","71","null","73","null","0","null","13","null","0","null","13","null","62","90","null","null","0","null","13","null","62","null","90","null",
